timestamp,sec,nanosec,pv_x,pv_y,pv_z,ov_x,ov_y,ov_z,ov_w,tcp_speedv_x,tcp_speedv_y,tcp_speedv_z,tcp_speedv,tcp_angularv_x,tcp_angularv_y,tcp_angularv_z,tcp_angularv,tcp_accelv__x,tcp_accelv__y,tcp_accelv__z,tcp_accelv,tcp_accelv_angular_x,tcp_accelv_angular_y,tcp_accelv_angular_z,tcp_accelv_angular,ps_x,ps_y,ps_z,os_x,os_y,os_z,os_w,tcp_speeds,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,ap_x,ap_y,ap_z
1719851564823342387,,,,,,,,,,,,,,,,,,,,,,,,,,369.998,-1130.01,1730.01,,,,,,,,,,,,,,
1719851564825115717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851564828118984,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.02,1730.01,,,,,,,,,,,,,,
1719851564829074389,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.02,1730.01,,,,,,,,,,,,,,
1719851564830575503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851564830598238,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851564832517423,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851564832586251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851564835010311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06423,0.607569,0.386598,0.690852,,,,,,,,,,
1719851564835040241,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.01,1730.02,,,,,,,,,,,,,,
1719851564835082604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851564835649194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3793,9.30279,-1.75829,88.2768,105.586,53.4513,,,
1719851564836879806,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.01,1730.02,,,,,,,,,,,,,,
1719851564837170522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3793,9.30279,-1.75829,88.2768,105.586,53.4513,,,
1719851564839061385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642291,0.607571,0.386597,0.690851,,,,,,,,,,
1719851564839082873,,,,,,,,,,,,,,,,,,,,,,,,,,369.994,-1130.01,1730.02,,,,,,,,,,,,,,
1719851564839954467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642291,0.607571,0.386597,0.690851,,,,,,,,,,
1719851564839978743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851564839990226,,,,,,,,,,,,,,,,,,,,,,,,,,369.994,-1130.01,1730.02,,,,,,,,,,,,,,
1719851564840227095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.3027,-1.75829,88.2765,105.586,53.4514,,,
1719851564841354344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642291,0.607571,0.386597,0.690851,,,,,,,,,,
1719851564841371129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851564841380294,,,,,,,,,,,,,,,,,,,,,,,,,,369.994,-1130.01,1730.02,,,,,,,,,,,,,,
1719851564841578855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.3027,-1.75829,88.2765,105.586,53.4514,,,
1719851564843859400,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851564845794164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642322,0.607571,0.386595,0.690852,,,,,,,,,,
1719851564845833760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851564848869231,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.01,1730.02,,,,,,,,,,,,,,
1719851564848928791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851565823143292,,,,,,,,,,,,,,,,,,,,,,,,,,369.999,-1130.02,1730.02,,,,,,,,,,,,,,
1719851565824504193,,,,,,,,,,,,,,,,,,,,,,,,,,369.999,-1130.02,1730.02,,,,,,,,,,,,,,
1719851565825320116,,,,,,,,,,,,,,,,,,,,,,,,,,369.999,-1130.02,1730.02,,,,,,,,,,,,,,
1719851565827682214,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851565827755993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30287,-1.75821,88.2768,105.585,53.4513,,,
1719851565830273245,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851565830576180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30287,-1.75821,88.2768,105.585,53.4513,,,
1719851565832979236,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851565833328476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30279,-1.75816,88.2768,105.585,53.4511,,,
1719851565834299577,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.01,1730.02,,,,,,,,,,,,,,
1719851565834655311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3793,9.30279,-1.75829,88.2768,105.585,53.4512,,,
1719851565835400138,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.01,1730.02,,,,,,,,,,,,,,
1719851565835760967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3793,9.30279,-1.75829,88.2768,105.585,53.4512,,,
1719851565838102044,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.01,1730.02,,,,,,,,,,,,,,
1719851565838324302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3793,9.30279,-1.75829,88.2768,105.585,53.4512,,,
1719851565842224501,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.02,1730.01,,,,,,,,,,,,,,
1719851565842306136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642324,0.607573,0.386595,0.69085,,,,,,,,,,
1719851565844515042,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851565844680274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642324,0.607569,0.386594,0.690853,,,,,,,,,,
1719851565845087265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.3027,-1.75821,88.277,105.585,53.4513,,,
1719851565846309975,,,,,,,,,,,,,,,,,,,,,,,,,,369.998,-1130.01,1730.02,,,,,,,,,,,,,,
1719851565846380651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642328,0.607572,0.386596,0.69085,,,,,,,,,,
1719851565847726513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642328,0.607572,0.386596,0.69085,,,,,,,,,,
1719851565847745279,,,,,,,,,,,,,,,,,,,,,,,,,,369.998,-1130.01,1730.02,,,,,,,,,,,,,,
1719851565848050130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3792,9.30266,-1.75821,88.2765,105.585,53.4512,,,
1719851565848895566,,,,,,,,,,,,,,,,,,,,,,,,,,369.998,-1130.01,1730.02,,,,,,,,,,,,,,
1719851565849044023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642328,0.607572,0.386596,0.69085,,,,,,,,,,
1719851566835418837,,,,,,,,,,,,,,,,,,,,,,,,,,369.994,-1130.02,1730.01,,,,,,,,,,,,,,
1719851566836724915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642314,0.607572,0.386595,0.690851,,,,,,,,,,
1719851566836773456,,,,,,,,,,,,,,,,,,,,,,,,,,369.994,-1130.02,1730.01,,,,,,,,,,,,,,
1719851566838402136,,,,,,,,,,,,,,,,,,,,,,,,,,369.994,-1130.02,1730.01,,,,,,,,,,,,,,
1719851566839261407,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.01,1730.02,,,,,,,,,,,,,,
1719851566839474586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3793,9.3027,-1.75821,88.2768,105.585,53.4513,,,
1719851566841510229,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.01,1730.02,,,,,,,,,,,,,,
1719851566841583324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3793,9.3027,-1.75821,88.2768,105.585,53.4513,,,
1719851566843649709,,,,,,,,,,,,,,,,,,,,,,,,,,369.999,-1130.02,1730.02,,,,,,,,,,,,,,
1719851566843928970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3792,9.30287,-1.75829,88.277,105.585,53.4513,,,
1719851566845838416,,,,,,,,,,,,,,,,,,,,,,,,,,369.999,-1130.02,1730.02,,,,,,,,,,,,,,
1719851566846200993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3792,9.30287,-1.75829,88.277,105.585,53.4513,,,
1719851566847818718,,,,,,,,,,,,,,,,,,,,,,,,,,369.998,-1130.01,1730.02,,,,,,,,,,,,,,
1719851566848188511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3792,9.3027,-1.75821,88.2768,105.585,53.4511,,,
1719851566848862262,,,,,,,,,,,,,,,,,,,,,,,,,,369.998,-1130.01,1730.02,,,,,,,,,,,,,,
1719851566848930823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642322,0.607569,0.386597,0.690852,,,,,,,,,,
1719851566850236249,,,,,,,,,,,,,,,,,,,,,,,,,,369.999,-1130.02,1730.02,,,,,,,,,,,,,,
1719851566850522674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3792,9.30287,-1.75829,88.2768,105.585,53.4513,,,
1719851566852587960,,,,,,,,,,,,,,,,,,,,,,,,,,369.999,-1130.02,1730.02,,,,,,,,,,,,,,
1719851566853914529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851566856805400,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851566856995381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30266,-1.75821,88.2765,105.585,53.4512,,,
1719851567824745566,,,,,,,,,,,,,,,,,,,,,,,,,,369.999,-1130.01,1730.02,,,,,,,,,,,,,,
1719851567826538308,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851567827235936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642322,0.607573,0.386596,0.690849,,,,,,,,,,
1719851567828171722,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851567828502953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.3027,-1.75829,88.2763,105.585,53.4513,,,
1719851567829657331,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851567829725799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.3027,-1.75829,88.2763,105.585,53.4513,,,
1719851567830782197,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.02,1730.02,,,,,,,,,,,,,,
1719851567833068736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642325,0.60757,0.386596,0.690852,,,,,,,,,,
1719851567833449208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3793,9.30287,-1.75816,88.2768,105.585,53.4511,,,
1719851567835647065,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851567836042427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.3027,-1.75829,88.277,105.585,53.4511,,,
1719851567839126815,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.01,1730.02,,,,,,,,,,,,,,
